cod;month;name;sale
500;dez;Jill;1215
501;jan;Ítalo;4804
502;out;Ítalo;1648
503;nov;Ítalo;164
504;dez;Ítalo;2549
505;jan;Ana Clara;1514
506;fev;Ana Clara;624
507;mar;Derlândio;169
508;abr;Ítalo;2201
509;mai;Derlândio;694
510;jun;Felipe;239
511;jul;Ana Clara;914
512;jul;Ana Clara;1597
513;ago;Samila;3601
514;set;Samila;3277
515;out;Derlândio;3478
516;nov;Ana Clara;3199
517;dez;Jill;4287
518;jan;Mario;2677
519;fev;Ana Clara;3466
520;mar;Felipe;182
521;abr;Mario;5113
522;mar;Mario;3731
523;abr;Murilo;754
524;mai;Samila;4265
525;jun;Felipe;3414
526;jul;Jill;263
527;ago;Samila;3509
528;set;Murilo;1318
529;out;Samila;4855
530;nov;Ana Clara;4366
531;out;Felipe;2913
532;nov;Derlândio;2188
533;dez;Ana Clara;3926
534;jan;Ítalo;965
535;out;Mario;2876
536;nov;Murilo;908
537;dez;Ana Clara;1520
538;jan;Jill;3086
539;fev;Ana Clara;4202
540;mar;Felipe;764
541;abr;Felipe;708
542;mai;Derlândio;3450
543;jun;Mario;2412
544;jul;Ana Clara;691
545;jul;Derlândio;4495
546;ago;Ana Clara;4802
547;set;Murilo;3730
548;out;Derlândio;2026
549;nov;Derlândio;123
550;dez;Derlândio;2728
551;jan;Felipe;3731
552;fev;Ana Clara;5215
553;mar;Samila;2883
554;abr;Samila;4852
555;mar;Samila;1332
556;abr;Jill;5076
557;mai;Ana Clara;1702
558;jun;Ana Clara;2801
559;jul;Samila;4532
560;ago;Ítalo;436
561;set;Murilo;1275
562;out;Derlândio;1237
563;nov;Ítalo;4479
564;dez;Jill;3735
565;jan;Murilo;1537
566;fev;Samila;2838
567;mar;Samila;1412
568;abr;Felipe;3622
569;mai;Derlândio;5020
570;jun;Murilo;4672
571;jul;Ítalo;5136
572;jul;Ana Clara;5161
573;ago;Samila;1856
574;set;Murilo;5096
575;out;Samila;3684
576;nov;Ítalo;2820
577;dez;Jill;5008
578;jan;Jill;448
579;fev;Felipe;3471
580;mar;Samila;154
581;abr;Felipe;131
582;mai;Ana Clara;3552
583;jun;Samila;5227
584;jul;Murilo;804
585;ago;Jill;556
586;set;Ítalo;1383
587;out;Jill;2020
588;nov;Mario;3208
589;out;Ítalo;1813
590;nov;Murilo;280
591;mai;Felipe;200
592;jun;Jill;3894
593;jul;Jill;3029
594;ago;Ítalo;1731
595;set;Ítalo;4137
596;out;Ítalo;3241
597;nov;Felipe;4974
598;dez;Samila;179
599;jan;Derlândio;1178
600;fev;Derlândio;3332
601;mar;Derlândio;4173
602;abr;Mario;2323
603;mai;Jill;4605
604;jun;Murilo;512
605;jul;Murilo;1604
606;jul;Ítalo;4270
607;ago;Samila;3086
608;set;Derlândio;1711
609;out;Derlândio;1986
610;nov;Mario;693
611;dez;Mario;2963
612;jan;Mario;4937
613;fev;Jill;4797
614;mar;Mario;1866
615;abr;Jill;3245
616;mai;Ana Clara;1568
617;ago;Ítalo;4053
618;set;Murilo;1951
619;out;Jill;840
620;nov;Samila;1719
621;dez;Jill;4035
622;jan;Ítalo;276
623;fev;Jill;394
624;mar;Derlândio;1403
625;abr;Jill;1996
626;mai;Samila;5203
627;jun;Derlândio;4461
628;jul;Jill;4593
629;ago;Felipe;3289
630;set;Mario;1642
631;out;Samila;5015
632;nov;Ana Clara;3765
633;out;Mario;632
634;nov;Jill;3891
635;mai;Felipe;4229
636;jun;Ítalo;578
637;jul;Mario;3340
638;ago;Ítalo;4066
639;set;Ítalo;2477
640;out;Ítalo;3542
641;jan;Felipe;954
642;fev;Jill;4025
643;mar;Derlândio;1768
644;abr;Mario;1501
645;mai;Derlândio;1606
646;jun;Ítalo;1668
647;jul;Mario;4128
648;ago;Felipe;508
649;set;Murilo;4359
650;out;Murilo;4252
651;dez;Murilo;4531
652;jan;Mario;3051
653;fev;Murilo;2952
654;mar;Derlândio;2644
655;abr;Mario;4578
656;mai;Ítalo;2206
657;jun;Ana Clara;3916
658;mai;Felipe;1135
659;jun;Ítalo;547
660;jul;Jill;5253
661;jul;Murilo;1188
662;ago;Samila;1184
663;set;Mario;1044
664;out;Ítalo;1722
665;nov;Felipe;605
666;dez;Murilo;3901
667;jan;Samila;3607
668;fev;Felipe;2436
669;mar;Ítalo;3220
670;abr;Felipe;3699
671;mai;Murilo;3961
672;jun;Mario;3441
673;jul;Derlândio;3196
674;ago;Mario;3127
675;set;Ítalo;3520
676;out;Murilo;3716
677;nov;Jill;4863
678;out;Felipe;146
679;nov;Ítalo;2999
680;dez;Jill;2826
681;jan;Ana Clara;305
682;out;Mario;2625
683;nov;Ana Clara;4302
684;dez;Samila;4217
685;jan;Samila;3675
686;fev;Derlândio;3937
687;mar;Murilo;4661
688;abr;Mario;1071
689;mai;Derlândio;1182
690;jun;Felipe;3200
691;jul;Ítalo;4841
692;jul;Mario;3990
693;ago;Murilo;1147
694;set;Derlândio;2929
695;out;Derlândio;368
696;nov;Felipe;2765
697;dez;Samila;2075
698;jan;Mario;2366
699;fev;Mario;4443
700;mar;Derlândio;2310
701;abr;Felipe;2736
702;mar;Felipe;4406
703;set;Ana Clara;4667
704;nov;Murilo;1894
705;out;Samila;4896
706;nov;Felipe;5125
707;dez;Ítalo;1447
708;jan;Jill;740
709;out;Ítalo;2577
710;nov;Felipe;2367
711;dez;Mario;3335
712;jan;Samila;3980
713;fev;Samila;4289
714;mar;Jill;1640
715;abr;Felipe;4094
716;mai;Samila;3567
717;jun;Murilo;3988
718;jul;Samila;498
719;jul;Jill;2285
720;ago;Derlândio;4487
721;set;Murilo;3067
722;out;Murilo;1331
723;nov;Jill;3527
724;dez;Derlândio;4746
725;jan;Felipe;1831
726;fev;Jill;1922
727;mar;Derlândio;4007
728;abr;Jill;250
729;mar;Murilo;3311
730;set;Jill;3113
731;out;Jill;1064
732;nov;Ítalo;984
733;out;Mario;777
734;nov;Derlândio;180
735;dez;Derlândio;2588
736;jan;Ana Clara;698
737;out;Ítalo;1412
738;nov;Felipe;3589
739;dez;Murilo;2804
740;jan;Derlândio;5170
741;fev;Felipe;4771
742;mar;Derlândio;4592
743;abr;Murilo;669
744;mai;Mario;2573
745;jun;Ana Clara;1410
746;jul;Mario;1278
747;jul;Felipe;1763
748;ago;Murilo;766
749;set;Samila;1070
750;out;Murilo;4319
751;nov;Derlândio;3572
752;dez;Mario;2314
753;jan;Felipe;3311
754;fev;Felipe;4004
755;mar;Ana Clara;241
756;abr;Felipe;864
757;mai;Samila;3163
758;jun;Samila;1053
759;jul;Jill;4812
760;jul;Samila;3400
761;ago;Mario;2755
762;set;Ana Clara;1926
763;out;Jill;5110
764;nov;Murilo;4176
765;dez;Felipe;1349
766;jan;Felipe;2562
767;fev;Ítalo;3765
768;mar;Jill;5233
769;abr;Ana Clara;1648
770;mai;Ana Clara;1038
771;ago;Samila;4680
772;set;Jill;3617
773;out;Mario;5240
774;nov;Murilo;404
775;dez;Ana Clara;194
776;jan;Ana Clara;903
777;fev;Ítalo;2385
778;mar;Ítalo;1376
779;abr;Felipe;4962
780;mai;Ítalo;4034
781;jun;Felipe;3815
782;jul;Derlândio;4029
783;ago;Mario;3438
784;set;Mario;972
785;out;Jill;5181
786;nov;Murilo;3301
787;out;Derlândio;3270
788;nov;Murilo;3790
789;mai;Felipe;5053
790;jun;Felipe;3745
791;jul;Samila;496
792;ago;Ítalo;5030
793;set;Derlândio;1468
794;out;Derlândio;1967
795;jan;Murilo;4848
796;fev;Derlândio;2578
797;mar;Ítalo;4181
798;abr;Murilo;610
799;mai;Samila;5065
800;jun;Felipe;770
801;jul;Samila;4206
802;ago;Samila;2079
803;set;Felipe;3015
804;out;Ana Clara;1853
805;dez;Ana Clara;3983
806;jan;Samila;3951
807;fev;Jill;310
808;mar;Jill;2359
809;abr;Derlândio;3322
810;mai;Samila;3517
811;jun;Jill;310
812;mai;Samila;3626
813;jun;Samila;173
814;jul;Samila;4487
815;jul;Ítalo;4629
816;ago;Ana Clara;3987
817;set;Jill;3578
818;out;Ítalo;2953
819;nov;Mario;2109
820;dez;Mario;4612
821;jan;Ítalo;1888
822;fev;Felipe;4088
823;mar;Derlândio;3407
824;abr;Ítalo;4186
825;mai;Jill;1689
826;jun;Ana Clara;4648
827;jul;Derlândio;4216
828;ago;Jill;1478
829;set;Jill;3109
830;out;Felipe;2439
831;nov;Ana Clara;5012
832;out;Derlândio;945
833;nov;Felipe;781
834;dez;Jill;717
835;jan;Derlândio;4705
836;out;Jill;420
837;nov;Murilo;3647
838;dez;Ítalo;4088
839;jan;Ana Clara;1448
840;fev;Ítalo;2858
841;mar;Ana Clara;2911
842;abr;Ítalo;476
843;mai;Felipe;2908
844;jun;Derlândio;3835
845;jul;Samila;1882
846;jul;Ana Clara;3294
847;ago;Felipe;1807
848;set;Jill;3555
849;out;Felipe;4576
850;nov;Murilo;2014
851;dez;Samila;3722
852;jan;Felipe;1311
853;fev;Felipe;2512
854;mar;Ítalo;290
855;abr;Jill;2284
856;mar;Derlândio;3008
857;set;Murilo;3163
858;nov;Jill;953
859;out;Samila;875
860;nov;Ana Clara;176
861;dez;Ítalo;852
862;jan;Ana Clara;2591
863;out;Ana Clara;1752
864;nov;Jill;5187
865;dez;Ítalo;5254
866;jan;Derlândio;3603
867;fev;Jill;129
868;mar;Derlândio;1239
869;abr;Derlândio;4913
870;mai;Derlândio;4470
871;jun;Jill;1639
872;jul;Murilo;2586
873;jul;Murilo;3434
874;ago;Ana Clara;3953
875;set;Derlândio;1327
876;out;Mario;1498
877;nov;Ana Clara;851
878;dez;Derlândio;1603
879;jan;Derlândio;4074
880;fev;Derlândio;434
881;mar;Murilo;277
882;abr;Samila;2525
883;mar;Murilo;1761
884;set;Samila;713
885;out;Murilo;3746
886;nov;Samila;705
887;out;Ítalo;4532
888;nov;Ana Clara;3498
889;dez;Felipe;3600
890;jan;Ana Clara;2938
891;out;Ana Clara;276
892;nov;Derlândio;1466
893;dez;Derlândio;2354
894;jan;Mario;586
895;fev;Samila;1386
896;mar;Murilo;586
897;abr;Samila;4410
898;mai;Mario;1702
899;jun;Felipe;1061
900;jul;Ítalo;3722
901;jul;Derlândio;1099
902;ago;Samila;2428
903;set;Samila;4722
904;out;Murilo;1343
905;nov;Ana Clara;1466
906;dez;Samila;4520
907;jan;Jill;2233
908;fev;Felipe;135
909;mar;Ana Clara;397
910;abr;Samila;2368
911;mai;Derlândio;1301
912;jun;Derlândio;4326
913;jul;Jill;4378
914;jul;Mario;3818
915;ago;Felipe;4609
916;set;Jill;992
917;out;Samila;4314
918;nov;Jill;2948
919;dez;Samila;165
920;jan;Derlândio;3403
921;fev;Jill;394
922;mar;Felipe;1403
923;abr;Jill;3394
924;mai;Ana Clara;714
925;ago;Jill;4007
926;set;Ana Clara;5050
927;out;Ítalo;200
928;nov;Ítalo;3102
929;dez;Ítalo;3101
930;jan;Ana Clara;1881
931;fev;Jill;3736
932;mar;Ana Clara;1450
933;abr;Murilo;2227
934;mai;Jill;767
935;jun;Felipe;2962
936;jul;Ana Clara;5102
937;ago;Felipe;1709
938;set;Jill;4884
939;out;Ana Clara;1360
940;nov;Samila;484
941;out;Ítalo;1403
942;nov;Felipe;3041
943;mai;Mario;5163
944;jun;Derlândio;1265
945;jul;Ítalo;3256
946;ago;Samila;5079
947;set;Felipe;2286
948;out;Ana Clara;4312
949;jan;Felipe;2607
950;fev;Jill;3987
951;mar;Mario;4479
952;abr;Jill;2388
953;mai;Felipe;5053
954;jun;Jill;366
955;jul;Ana Clara;1184
956;ago;Jill;2979
957;set;Mario;1639
958;out;Derlândio;3043
959;dez;Samila;2984
960;jan;Mario;3122
961;fev;Derlândio;481
962;mar;Felipe;1327
963;abr;Mario;3854
964;mai;Derlândio;2952
965;jun;Felipe;2820
966;mai;Ítalo;2733
967;jun;Ana Clara;5084
968;jul;Felipe;562
969;jul;Ana Clara;4114
970;ago;Felipe;2277
971;set;Ana Clara;985
972;out;Jill;5059
973;nov;Samila;4191
974;dez;Ítalo;3512
975;jan;Mario;2135
976;fev;Mario;1709
977;mar;Samila;1441
978;abr;Ítalo;5160
979;mai;Felipe;1644
980;jun;Felipe;4555
981;jul;Samila;1629
982;ago;Jill;4170
983;set;Jill;4227
984;out;Mario;5074
985;nov;Mario;3764
986;out;Derlândio;4266
987;nov;Ítalo;1510
988;dez;Ítalo;2705
989;jan;Felipe;1666
990;out;Ana Clara;2262
991;nov;Ana Clara;4725
992;dez;Mario;2289
993;jan;Samila;2018
994;fev;Ítalo;1470
995;mar;Ítalo;4169
996;abr;Felipe;2767
997;mai;Ana Clara;399
998;jun;Felipe;963
999;jul;Murilo;411
1000;jul;Felipe;418
1001;ago;Murilo;4865
1002;set;Mario;2616
1003;out;Jill;4785
1004;nov;Murilo;5198
1005;dez;Derlândio;4522
1006;jan;Felipe;5168
1007;fev;Jill;1079
1008;mar;Jill;5212
1009;abr;Samila;1109
1010;mar;Mario;1885
1011;set;Ana Clara;1176
1012;nov;Murilo;1446
1013;out;Felipe;767
1014;nov;Felipe;3411
1015;dez;Ana Clara;3018
1016;jan;Ítalo;1881
1017;out;Felipe;3261
1018;nov;Mario;1322
1019;dez;Felipe;3789
1020;jan;Jill;4031
1021;fev;Felipe;1963
1022;mar;Jill;3041
1023;abr;Felipe;878
1024;mai;Ítalo;1935
1025;jun;Murilo;2765
1026;jul;Ítalo;2095
1027;jul;Ana Clara;5076
1028;ago;Felipe;1262
1029;set;Derlândio;2687
1030;out;Ana Clara;3277
1031;nov;Murilo;1474
1032;dez;Jill;3255
1033;jan;Felipe;4109
1034;fev;Jill;4899
1035;mar;Ana Clara;4202
1036;abr;Mario;2811
1037;mar;Ana Clara;2339
1038;set;Ana Clara;1659
1039;out;Jill;560
1040;nov;Jill;5157
1041;out;Jill;2964
1042;nov;Ítalo;326
1043;dez;Felipe;3102
1044;jan;Felipe;1933
1045;out;Mario;4286
1046;nov;Felipe;976
1047;dez;Felipe;5229
1048;jan;Felipe;3221
1049;fev;Mario;2347
1050;mar;Murilo;2398
1051;abr;Samila;3983
1052;mai;Samila;3709
1053;jun;Mario;515
1054;jul;Samila;1388
1055;jul;Mario;3220
1056;ago;Samila;499
1057;set;Murilo;5198
1058;out;Ítalo;978
1059;dez;Mario;5238
1060;dez;Felipe;4265
1061;jan;Murilo;385
1062;fev;Felipe;308
1063;mar;Felipe;3410
1064;abr;Felipe;2983
1065;mar;Jill;156
